Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(USDT),RSI
2021-12-01,56950.56,59053.55,56458.01,57184.07,0.0040999999999999,0.0455999999999999,56656.24,60249.18,54406.34,2585000000.0,43.30093729229684
2021-12-02,57184.07,57375.47,55777.77,56480.34,-0.0123,0.0279,56301.95,59977.45,54482.17,2127000000.0,49.0133308767364
2021-12-03,55392.56,55617.285,48889.035,52816.405,-0.04765,0.12455,55895.235,59343.05,54516.715,3811500000.0,38.78603504667243
2021-12-04,53601.05,53859.1,42000.3,49152.47,-0.083,0.2212,55488.52,58708.65,54551.26,5496000000.0,29.18451736266961
2021-12-05,49152.46,49699.05,47727.21,49396.33,0.005,0.0401,54363.01,58089.2,54556.32,2231000000.0,31.181424425969297
2021-12-06,49396.32,50891.11,47100.0,50441.92,0.0212,0.0767,53315.25,57515.91,54573.23,2852000000.0,37.479456876478984
2021-12-07,50441.91,51936.33,50039.74,50588.95,0.0029,0.0375999999999999,52406.45,56974.58,54609.65,1951000000.0,34.22500031766374
2021-12-08,50588.95,51200.0,48600.0,50471.19,-0.0023,0.0513999999999999,51447.46,56418.23,54643.7,1925000000.0,34.6737984042783
2021-12-09,50471.19,50797.76,47320.0,47545.59,-0.0579999999999999,0.0689,50171.07,55699.29,54630.92,1841000000.0,25.026964420966124
2021-12-10,47535.9,50125.0,46852.0,47140.54,-0.0085,0.0688,49248.14,55040.64,54609.65,2135000000.0,31.731372545756244
2021-12-11,47140.54,49485.71,46751.0,49389.99,0.0476999999999999,0.0579999999999999,49282.07,54613.88,54603.49,1398000000.0,36.174946940824746
2021-12-12,49389.99,50777.0,48638.0,50053.9,0.0134,0.0433,49376.01,54202.24,54604.89,1292000000.0,29.238626784171984
2021-12-13,50053.9,50189.97,45672.75,46702.75,-0.067,0.0902,48841.84,53794.69,54553.84,2424000000.0,22.644786118714237
2021-12-14,46702.76,48700.41,46290.0,48343.28,0.0351,0.0516,48521.03,53406.33,54510.2,1887000000.0,29.56004833047099
2021-12-15,48336.95,49500.0,46547.0,48864.98,0.0108,0.0611,48291.58,52972.63,54530.41,2487000000.0,30.51117380077899
2021-12-16,48864.98,49436.43,47511.0,47632.38,-0.0252,0.0394,48303.97,52533.04,54546.41,1551000000.0,29.77340996063478
2021-12-17,47632.38,47995.96,45456.0,46131.2,-0.0315,0.0533,48159.78,52128.4,54543.75,2016000000.0,33.04051961138231
2021-12-18,46133.83,47392.37,45500.0,46834.48,0.0152,0.0409999999999999,47794.71,51700.13,54563.78,1165000000.0,43.08008566640139
2021-12-19,46834.47,48300.01,46406.91,46681.23,-0.0033,0.0404,47312.9,51281.85,54579.01,1385000000.0,41.85050137831012
2021-12-20,46681.24,47537.57,45558.85,46914.16,0.005,0.0424,47343.1,50800.0,54587.99,1663000000.0,38.86820292551415
2021-12-21,46914.17,49328.96,46630.0,48889.88,0.0421,0.0575,47421.19,50606.54,54627.88,1827000000.0,45.193336467861755
2021-12-22,48887.59,49576.13,48421.87,48588.16,-0.0062,0.0236,47381.64,50361.22,54642.79,1322000000.0,44.72778973315706
2021-12-23,48588.17,51375.0,47920.42,50838.81,0.0463,0.0711,47839.7,50103.78,54670.24,1738000000.0,59.582718388744304
2021-12-24,50838.82,51810.0,50384.43,50820.0,-0.0004,0.0279999999999999,48509.53,49825.53,54701.38,1618000000.0,60.95280790241997
2021-12-25,50819.99,51156.23,50142.32,50399.66,-0.0083,0.02,49018.84,49563.49,54732.69,971491000.0,53.37281371907774
2021-12-26,50399.67,51280.0,49412.0,50775.49,0.0075,0.0371,49603.74,49307.15,54757.76,1132000000.0,52.45778350905229
2021-12-27,50775.48,52088.0,50449.0,50701.44,-0.0015,0.0323,50144.78,49075.99,54792.71,1472000000.0,67.53413040370657
2021-12-28,50701.44,50704.05,47313.01,47543.74,-0.0623,0.0669,49952.47,48833.7,54838.45,2242000000.0,46.905747475185294
2021-12-29,47543.74,48139.08,46096.99,46464.66,-0.0227,0.043,49649.11,48726.19,54896.33,1874000000.0,41.09484653272131
2021-12-30,46464.66,47900.0,45900.0,47120.87,0.0141,0.043,49117.98,48635.17,54932.46,1429000000.0,48.0175183613356
2021-12-31,47120.88,48548.26,45678.0,46216.93,-0.0192,0.0608999999999999,48460.4,48466.17,54946.12,1651000000.0,50.3483965144906
2022-01-01,47421.77,48269.130000000005,46166.0,46751.555,-0.01415,0.0444499999999999,48019.95,48345.145,54994.240000000005,1258805500.0,49.658318949834985
2022-01-02,47722.66,47990.0,46654.0,47286.18,-0.0091,0.0279999999999999,47579.5,48224.12,55042.36,866611000.0,52.416662205791994
