Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(BTC),Vol(USDT)
2019-12-01,7540.63,7541.85,7210.0,7390.89,-0.02,0.044000000000000004,7409.45,8067.15,8881.46,60769.0,446525000.0
2019-12-02,7391.5,7420.56,7151.1,7294.28,-0.0131,0.0365,7435.84,7990.27,8852.68,46330.0,337889000.0
2019-12-03,7294.42,7400.0,7241.35,7292.71,-0.0002,0.0217,7455.35,7931.03,8821.58,33149.0,242379000.0
2019-12-04,7292.71,7750.0,7067.0,7194.32,-0.013500000000000002,0.09369999999999999,7410.47,7866.43,8791.37,83154.0,608671000.0
2019-12-05,7194.59,7485.0,7150.0,7389.0,0.0271,0.0466,7406.11,7800.41,8767.81,59307.0,434739000.0
2019-12-06,7389.0,7590.03,7305.0,7527.47,0.0187,0.038599999999999995,7375.79,7752.18,8747.9,48189.0,356906000.0
2019-12-07,7527.8,7619.62,7470.16,7488.21,-0.0052,0.0199,7368.13,7698.83,8726.73,31499.0,237001000.0
2019-12-08,7487.31,7564.0,7374.86,7510.11,0.0029,0.0253,7385.16,7648.15,8705.75,29857.0,223314000.0
2019-12-09,7510.11,7650.0,7273.0,7338.64,-0.022799999999999997,0.050199999999999995,7391.49,7595.83,8681.64,46622.0,347471000.0
2019-12-10,7338.64,7407.6,7157.1,7224.13,-0.015600000000000001,0.0341,7381.7,7545.92,8650.17,49724.0,363127000.0
2019-12-11,7224.15,7275.5,7125.66,7210.0,-0.002,0.0207,7383.94,7494.68,8615.77,30093.0,217096000.0
2019-12-12,7210.0,7295.0,7080.3,7198.08,-0.0017000000000000001,0.0298,7356.66,7442.51,8581.74,42289.0,303657000.0
2019-12-13,7197.76,7309.05,7190.76,7258.48,0.0084,0.016399999999999998,7318.24,7405.36,8548.35,27610.0,199836000.0
2019-12-14,7257.37,7271.77,7012.0,7064.05,-0.0268,0.0358,7257.64,7362.58,8515.67,29562.0,211004000.0
2019-12-15,7064.14,7200.3,7008.35,7118.59,0.0077,0.027200000000000002,7201.71,7323.4,8481.96,26396.0,187403000.0
2019-12-16,7119.6,7150.0,6836.0,6891.72,-0.0319,0.0441,7137.86,7293.96,8446.72,43864.0,307509000.0
2019-12-17,6891.44,6942.21,6560.0,6623.82,-0.038900000000000004,0.0555,7052.11,7268.19,8409.55,53865.0,364087000.0
2019-12-18,6623.84,7440.0,6435.0,7277.83,0.0987,0.1517,7061.8,7266.84,8381.06,95637.0,654057000.0
2019-12-19,7277.83,7380.0,7038.31,7150.3,-0.0175,0.046900000000000004,7054.97,7276.72,8350.68,55509.0,397408000.0
2019-12-20,7151.31,7220.0,7079.5,7187.83,0.0052,0.0196,7044.88,7279.85,8318.08,32131.999999999996,229843000.0
2019-12-21,7188.01,7190.58,7105.0,7132.75,-0.0077,0.011899999999999999,7054.69,7278.91,8285.67,19467.0,139069000.0
2019-12-21,7188.01,7190.58,7105.0,7132.75,-0.0077,0.011899999999999999,7054.69,7278.91,8285.67,19467.0,139069000.0
2019-12-22,7131.59,7518.54,7122.47,7501.44,0.051699999999999996,0.0555,7109.38,7278.63,8257.04,39137.0,285577000.0
2019-12-22,7131.59,7518.54,7122.47,7501.44,0.051699999999999996,0.0555,7109.38,7278.63,8257.04,39137.0,285577000.0
2019-12-23,7500.71,7695.38,7265.84,7317.09,-0.0246,0.057300000000000004,7170.15,7274.53,8226.89,68052.0,510710000.0
2019-12-24,7317.3,7436.68,7157.04,7255.77,-0.0084,0.0382,7260.43,7255.18,8196.63,43629.0,318428000.0
2019-12-24,7317.3,7436.68,7157.04,7255.77,-0.0084,0.0382,7260.43,7255.18,8196.63,43629.0,318428000.0
2019-12-25,7255.77,7271.77,7128.86,7204.63,-0.006999999999999999,0.0197,7249.97,7241.69,8166.5,27492.0,198273000.0
2019-12-25,7255.77,7271.77,7128.86,7204.63,-0.006999999999999999,0.0197,7249.97,7241.69,8166.5,27492.0,198273000.0
2019-12-26,7205.01,7435.0,7157.12,7202.0,-0.0004,0.038599999999999995,7257.36,7234.13,8136.65,36260.0,263290000.00000003
2019-12-26,7205.01,7435.0,7157.12,7202.0,-0.0004,0.038599999999999995,7257.36,7234.13,8136.65,36260.0,263290000.00000003
2019-12-27,7202.0,7275.86,7076.42,7254.74,0.0073,0.0277,7266.92,7232.55,8106.46,33643.0,242215000.0
2019-12-28,7254.77,7365.01,7238.67,7316.14,0.0085,0.0174,7293.12,7233.49,8077.64,26849.0,196322000.0
2019-12-28,7254.77,7365.01,7238.67,7316.14,0.0085,0.0174,7293.12,7233.49,8077.64,26849.0,196322000.0
2019-12-29,7315.36,7528.45,7288.0,7388.24,0.009899999999999999,0.0329,7276.94,7241.24,8051.4,31387.0,231732000.0
2019-12-29,7315.36,7528.45,7288.0,7388.24,0.009899999999999999,0.0329,7276.94,7241.24,8051.4,31387.0,231732000.0
2019-12-30,7388.43,7408.24,7220.0,7246.0,-0.019299999999999998,0.0255,7266.79,7235.52,8023.29,29606.0,216509000.0
2019-12-30,7388.43,7408.24,7220.0,7246.0,-0.019299999999999998,0.0255,7266.79,7235.52,8023.29,29606.0,216509000.0
2019-12-31,7246.0,7320.0,7145.01,7195.23,-0.006999999999999999,0.0241,7258.14,7222.23,7997.97,25954.0,187518000.0
2019-12-31,7246.0,7320.0,7145.01,7195.23,-0.006999999999999999,0.0241,7258.14,7222.23,7997.97,25954.0,187518000.0
2020-01-01,7195.24,7255.0,7175.15,7200.85,0.0008,0.0111,7257.6,7210.74,7984.91,16792.0,121214000.0
2020-01-02,7200.77,7212.5,6924.74,6965.71,-0.0327,0.04,7223.84,7188.96,7970.12,31951.0,225982000.0
2020-01-03,6965.49,7405.0,6871.04,7344.96,0.054400000000000004,0.0767,7236.73,7189.22,7962.86,68429.0,495099000.0
2020-01-04,7345.0,7404.0,7272.21,7354.11,0.0012,0.0179,7242.16,7194.41,7954.54,29988.0,219874000.0
2020-01-05,7354.19,7495.0,7318.0,7358.75,0.0006,0.0241,7237.94,7200.36,7946.05,38331.0,284849000.0
2020-01-06,7357.64,7795.34,7346.76,7758.0,0.054299999999999994,0.061,7311.09,7222.76,7943.17,54636.0,413330000.0
2020-01-07,7758.9,8207.68,7723.71,8145.28,0.0499,0.062400000000000004,7446.81,7258.23,7941.71,91172.0,724203000.0
2020-01-08,7906.8099999999995,8131.82,7736.855,7981.52,0.01015,0.0502,7568.75,7292.055,7937.780000000001,77706.0,615730500.0
2020-01-09,8054.72,8055.96,7750.0,7817.76,-0.0296,0.038,7690.69,7325.88,7933.85,64239.99999999999,507258000.0
2020-01-10,7817.74,8199.0,7672.0,8197.02,0.048499999999999995,0.0674,7812.41,7378.09,7933.57,82407.0,652774000.0
2020-01-11,8198.86,8286.34,8003.16,8020.01,-0.0216,0.0345,7907.54,7433.94,7932.39,54810.0,445034000.0
