Date,Ensemble_Sentiment,Ensemble_Sentiment_Normalized,Sentiment_7day_MA,Sentiment_Change,Sentiment_Volatility
2021-11-12,0.11712401010398225,0.620402726441539,0.039219395302660554,0.19583592224941498,0.11753553251008714
2021-11-14,0.32188917004111794,1.0,0.08257926342166519,0.20476515993713568,0.15768881244630492
2021-11-15,0.22294803792916734,0.8165811800991222,0.11442898312583195,-0.0989411321119506,0.16071599952358553
2021-11-16,0.13203318599179098,0.6480416202834077,0.14829824518326565,-0.09091485193737636,0.12850814952760503
2021-11-17,0.11948102046115552,0.6247721939115263,0.13207434233809578,-0.012552165530635456,0.1230795241640057
2021-11-18,0.011822994628270626,0.42519384232380586,0.12094092957286455,-0.10765802583288489,0.1308264529803862
2021-11-19,0.15949943550144524,0.6989590392034137,0.15497112209384714,0.1476764408731746,0.09679229303748149
2021-11-20,0.12268379804150532,0.6307095596122548,0.15576537751349329,-0.03681563745993992,0.09645218112749639
2021-11-22,0.0887758347831423,0.5678503778610884,0.12246347247663962,-0.033907963258363025,0.06447933222279209
2021-11-23,0.1509541246787529,0.6831175909267662,0.11217862772658041,0.06217828989561061,0.04986586817214737
2021-11-24,-0.19008311270299608,0.05089673103162734,0.06616201362732511,-0.34103723738174896,0.12319691803698087
2021-11-25,0.05352408964340028,0.502500069501346,0.05673959493907438,0.24360720234639635,0.12094090188888677
2021-11-26,-0.03177486729742682,0.3443713551142931,0.05051132894968902,-0.08529895694082709,0.12470363564539648
2021-11-29,-0.07107045110963574,0.2715245071320389,0.017572773719534595,-0.03929558381220892,0.12152850378079096
2021-11-30,0.20558084815317193,0.7843855766558206,0.029415209449772686,0.2766512992628077,0.13658457027134188
2021-12-09,-0.03306931195522923,0.34197169072302186,0.012008759915719605,-0.23865016010840118,0.13551863905924252
2021-12-10,0.014327561226733607,0.4298368521625598,-0.00750932057742601,0.04739687318196284,0.121260520768471
